value
15.78
13.07
13.31
11.76
37.57
3.52
4.51
27.11
30.1
10.6
8.55
8.23
29.98
23.38
6.95
40.84
29.36
67.65
47.18
39.34
62.88
75.46
26.95
61.48
48.18
